Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age
12/29/19,1/31/20,33,Top-level,General,Positive only,End-point only,Both,Both,Yes,Both,All,Both,56,
12/29/19,1/31/20,33,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,69,
12/29/19,1/31/20,33,Subgroup,Survivors,Positive only,End-point only,Survivors only,Discharged only,Yes,Both,All,Both,52,
1/18/20,2/3/20,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,
1/18/20,2/3/20,16,Subgroup,With treatment,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,
1/18/20,2/3/20,16,Subgroup,Control,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,58,
12/20/19,2/8/20,50,Top-level,General,Positive only,End-point and active,Both,Both,No,Both,All,Both,50,49.5
12/20/19,2/8/20,50,Subgroup,Subclinical,Positive only,End-point and active,Both,Both,No,Both,All,Both,,44.9
12/20/19,2/8/20,50,Subgroup,Scans done <= 1 week after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,48.8
12/20/19,2/8/20,50,Subgroup,Scans done 1-2 weeks after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,52.3
12/20/19,2/8/20,50,Subgroup,Scans done >2 weeks after symptom onset,Positive only,End-point and active,Both,Both,No,Both,All,Both,,49.5
1/17/20,2/15/20,29,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Both,,45.11
1/12/20,2/6/20,25,Top-level,Non-severe only,Positive only,End-point only,Both,Discharged only,No,ΝΑ,Mild only,Both,40,40
1/21/20,2/7/20,17,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,52,52
1/21/20,2/7/20,17,Subgroup,Non-severe only,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,45,45
1/21/20,2/7/20,17,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,69,69
2/12/20,3/2/20,19,Top-level,Severe,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,69.4,69.4
3/1/20,3/20/20,19,Subgroup,Severe,Positive only,End-point only,Non-Survivors only,Both,No,ΝΑ,Severe/Critical Only,,78.5,80
1/20/20,2/16/20,27,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,,All,,50,
1/20/20,2/16/20,27,Subgroup,Severe Cases,Positive only,End-point and active,Survivors only,Both,,,Severe/Critical Only,,66,
1/20/20,2/16/20,27,Subgroup,Mild Cases,Positive only,End-point and active,Survivors only,Both,,,Mild only,,49,
1/10/20,1/26/20,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,41,41
1/10/20,1/26/20,16,Subgroup,> 10 days after onset,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,45,45
1/10/20,1/26/20,16,Subgroup,<=10 days after onset,Positive only,Active only,Both,Non-discharged only,Yes,Both,All,Both,39,39
1/17/20,2/29/20,43,Subgroup,Combination therapy group,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,,41.8
1/17/20,2/9/20,23,Subgroup,Monotherapy group,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,,47.25
1/10/20,2/18/20,39,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,,,44.48
1/10/20,2/18/20,39,Subgroup,Asymptomatic/Mild,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,,35.96
1/10/20,2/18/20,39,Subgroup,Moderate,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Mild only,Both,,44.47
1/10/20,2/18/20,39,Subgroup,Severe/Critical,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,,60.09
12/11/19,1/29/20,49,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,47,
12/11/19,1/29/20,49,Subgroup,Non-Severe,Positive only,End-point and active,Both,Both,Yes,Both,Mild only,Non-ventilation only,45,
12/11/19,1/29/20,49,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Both,52,
12/11/19,1/29/20,49,Subgroup,ICU/Venitlation/Death,Positive and Negative/Unconfirmed,End-point and active,Both,Both,Yes,Both,All,Both,63,
12/11/19,1/29/20,49,Subgroup,Not (ICU/Ventilation/Death),Positive and Negative/Unconfirmed,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Both,46,
12/16/19,1/2/20,17,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,49,
12/16/19,1/2/20,17,Subgroup,ICU care,Positive only,End-point and active,Both,Both,Yes,ICU only,All,Both,49,
12/16/19,1/2/20,17,Subgroup,No ICU care,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,All,Both,49,
1/1/20,1/20/20,19,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,,55.5
2/5/20,2/13/20,8,Subgroup,Severe,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,,63,
2/5/20,2/13/20,8,Subgroup,Critical,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,,67,
1/1/20,2/3/20,33,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,56,56
1/1/20,2/3/20,33,Subgroup,Non-ICU,Positive only,End-point and active,Survivors only,Both,Yes,ICU only,All,Both,66,66
1/1/20,2/3/20,33,Subgroup,ICU,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Severe/Critical Only,Non-ventilation only,51,51
1/16/20,2/4/20,19,Top-level,General,Positive only,Active only,Survivors only,Both,No,ΝΑ,Mild only,,34,
1/20/20,1/27/20,7,Top-level,General,Positive only,Active only,Survivors only,Discharged only,No,ΝΑ,Mild only,,,49
1/23/20,2/8/20,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,47,
1/23/20,2/8/20,16,Subgroup,Mild,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Both,44,
1/23/20,2/8/20,16,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,56,
1/22/20,2/10/20,19,Top-level,General,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,All,,,45.1
1/22/20,2/10/20,19,Subgroup,Discharged,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,,,34.8
1/22/20,2/10/20,19,Subgroup,Non-Discharged,Positive only,Active only,Survivors only,Non-discharged only,No,ΝΑ,All,,,49.4
12/25/19,2/15/20,52,Top-level,General,Positive and Negative/Unconfirmed,End-point and active,Both,Both,Yes,Both,All,,,70.58
12/25/19,2/15/20,52,Subgroup,Non-survivor,Positive and Negative/Unconfirmed,End-point only,Non-Survivors only,Both,Yes,Both,All,,,78.61
12/25/19,2/15/20,52,Subgroup,Survivor,Positive and Negative/Unconfirmed,End-point and active,Survivors only,Both,Yes,Both,All,,,66.16
2/20/20,3/5/20,14,Top-level,,Positive only,End-point and active,Both,Both,Yes,ICU only,All,,,70
1/23/20,2/25/20,33,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,47,
1/23/20,2/25/20,33,Subgroup,Did not require supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,37,
1/23/20,2/25/20,33,Subgroup,Required supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,56,
2/15/20,3/17/20,31,Top-level,Non-survivor,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,All,Both,80,79.5
12/25/19,1/26/20,32,Top-level,aggregate,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,51,
12/25/19,1/26/20,32,Subgroup,with ARDS,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Ventilation only,58.5,
12/25/19,1/26/20,32,Subgroup,without ARDS,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Non-ventilation only,48,
2/3/20,2/10/20,7,Subgroup,meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,51,
2/3/20,2/10/20,7,Subgroup,no meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,64,
1/20/20,1/31/20,11,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,46
1/20/20,2/10/20,21,Top-level,All cases,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,47.5,
1/20/20,2/10/20,21,Subgroup,severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,61.4,
,,0,,,,,,,,,,,,
1/20/20,2/10/20,21,Subgroup,common,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,Mild only,,44.5,
,,0,,,,,,,,,,,,
1/21/20,2/3/20,13,Subgroup,Mild,Positive only,End-point and active,,Both,Yes,,Mild only,,,29.2
1/21/20,2/3/20,13,Subgroup,Common,Positive only,End-point and active,,Both,Yes,,Mild only,,,33.4
1/21/20,2/3/20,13,Subgroup,Severe,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,44.2
1/21/20,2/3/20,13,Subgroup,Critical,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,63
1/24/20,2/14/20,21,Subgroup,FPV,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,43,
1/24/20,2/14/20,21,Subgroup,LPV/RTV,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,49,
1/1/20,2/21/20,51,Subgroup,Mild,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,
1/1/20,2/21/20,51,Subgroup,Moderate,Positive only,Active only,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,
1/1/20,2/21/20,51,Subgroup,Severe,Positive only,Active only,Both,Both,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,,
1/1/20,2/21/20,51,Subgroup,Critically Severe,Positive only,Active only,Both,Both,No,ICU only,Severe/Critical Only,Both,,
1/20/20,2/6/20,17,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,,51,51
1/17/20,2/8/20,22,Subgroup,Normal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,,,34.9
1/17/20,2/8/20,22,Subgroup,Abnormal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,,,46.65
1/23/20,2/18/20,26,Subgroup,Imported contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,,35,
1/23/20,2/18/20,26,Subgroup,Secondary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,,37,
1/23/20,2/18/20,26,Subgroup,Terciary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,,53,
1/25/20,2/9/20,15,Top-level,All,Positive only,Active only,Both,Both,No,ΝΑ,Mild only,,53,
1/19/20,2/15/20,27,Top-level,,Positive only,End-point and active,Both,Both,Yes,Both,All,,,
1/19/20,2/15/20,27,Subgroup,Common,Positive only,End-point and active,Both,Both,Yes,Both,Mild only,,,
1/19/20,2/15/20,27,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,,,
1/19/20,2/15/20,27,Subgroup,Critical,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,,,
1/23/20,2/9/20,17,Top-level,,Positive only,,,,,,,,48,
1/1/20,2/6/20,36,Top-level,survival,Positive only,Active only,Survivors only,Discharged only,Yes,Both,All,,51,
1/1/20,2/6/20,36,Subgroup,Common,Positive only,Active only,Survivors only,Discharged only,Yes,Both,Mild only,,49,
1/1/20,2/6/20,36,Subgroup,Severe,Positive only,Active only,Survivors only,Discharged only,Yes,Both,Severe/Critical Only,,54,
,,0,Subgroup,,Positive only,End-point and active,,,Yes,ICU only,All,,62,
2/1/20,2/20/20,19,Top-level,,Positive only,,,,Yes,,All,,45,
2/2/20,2/21/20,19,Subgroup,Common,Positive only,,,,,,,,,
2/3/20,2/22/20,19,Subgroup,Severe,Positive only,,,,,,,,,
2/4/20,2/23/20,19,Subgroup,Critical,Positive only,,,,,,,,,
1/24/20,2/23/20,30,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,46.5
1/24/20,2/23/20,30,Subgroup,Common,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,Both,,44.9
1/24/20,2/23/20,30,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,Both,,56.4
1/21/20,1/27/20,6,Top-level,All,Positive only,,,,,,All,,,42.9
1/21/20,1/27/20,6,Subgroup,Common,Positive only,,,,,,Mild only,,,40.6
1/21/20,1/27/20,6,Subgroup,Severe/Critical,Positive only,,,,,,Severe/Critical Only,,,53
,1/24/20,43854,,reference data from another paper,Positive only,,,,,Both,All,,49,
,1/30/20,43860,,reference data from another paper,Positive only,,,,,,,,,55.5
,,0,,reference data from another paper,Positive only,,,,,Both,,,56,
2020/01/??,before 02/12/2020,#VALUE!,Top-level,,Positive only,,,,,,,,,39.77
1/25/20,2/20/20,26,Top-level,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,,52.95324675
1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,65.1
1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,58.4
1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,45.8
1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,50.3
12/21/19,2/13/20,54,Top-level,,Positive only,Active only,Both,Both,No,Both,All,Both,,
1/1/20,1/27/20,26,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,48.8
