"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",1140,679,133,171,6
"2020-04-02",1244,712,142,187,7
"2020-04-03",1345,739,150,202,8
"2020-04-04",1441,759,157,216,9
"2020-04-05",1533,773,163,230,10
"2020-04-06",1621,782,168,243,11
"2020-04-07",1703,786,173,255,12
"2020-04-08",1781,784,176,267,13
"2020-04-09",1854,779,178,278,14
"2020-04-10",1921,769,180,288,15
"2020-04-11",1984,757,181,298,16
"2020-04-12",2043,741,181,306,17
"2020-04-13",2097,723,181,315,18
"2020-04-14",2147,703,180,322,19
"2020-04-15",2193,681,178,329,20
"2020-04-16",2235,658,176,335,21
"2020-04-17",2274,634,173,341,22
"2020-04-18",2309,609,171,346,23
"2020-04-19",2342,584,167,351,24
"2020-04-20",2371,559,164,356,24
"2020-04-21",2398,533,160,360,25
"2020-04-22",2422,508,156,363,26
"2020-04-23",2445,484,152,367,26
"2020-04-24",2465,460,148,370,27
"2020-04-25",2483,436,144,372,28
"2020-04-26",2500,413,140,375,28
"2020-04-27",2514,391,135,377,29
"2020-04-28",2528,370,131,379,29
"2020-04-29",2540,349,127,381,30
"2020-04-30",2551,329,123,383,30
"2020-05-01",2561,310,118,384,31
"2020-05-02",2570,292,114,385,31
"2020-05-03",2578,275,110,387,31
"2020-05-04",2585,259,106,388,32
"2020-05-05",2591,243,102,389,32
"2020-05-06",2597,229,98,390,32
"2020-05-07",2602,215,94,390,33
"2020-05-08",2607,202,91,391,33
"2020-05-09",2611,189,87,392,33
"2020-05-10",2615,178,83,392,34
"2020-05-11",2618,167,80,393,34
"2020-05-12",2621,156,77,393,34
"2020-05-13",2624,147,74,394,34
"2020-05-14",2626,137,71,394,34
"2020-05-15",2628,129,68,394,35
"2020-05-16",2630,121,65,395,35
"2020-05-17",2632,113,62,395,35
"2020-05-18",2633,106,59,395,35
"2020-05-19",2635,100,57,395,35
"2020-05-20",2636,93,54,395,35
"2020-05-21",2637,88,52,396,35
"2020-05-22",2638,82,50,396,36
"2020-05-23",2639,77,47,396,36
"2020-05-24",2640,72,45,396,36
"2020-05-25",2640,68,43,396,36
"2020-05-26",2641,64,41,396,36
"2020-05-27",2641,60,40,396,36
"2020-05-28",2642,56,38,396,36
"2020-05-29",2642,53,36,396,36
"2020-05-30",2643,50,34,396,36
"2020-05-31",2643,47,33,396,36
"2020-06-01",2643,44,31,396,36
"2020-06-02",2644,42,30,397,36
"2020-06-03",2644,39,29,397,36
"2020-06-04",2644,37,27,397,37
"2020-06-05",2644,35,26,397,37
"2020-06-06",2644,33,25,397,37
"2020-06-07",2644,31,24,397,37
"2020-06-08",2645,29,23,397,37
"2020-06-09",2645,27,22,397,37
"2020-06-10",2645,26,21,397,37
"2020-06-11",2645,24,20,397,37
"2020-06-12",2645,23,19,397,37
"2020-06-13",2645,22,18,397,37
"2020-06-14",2645,21,17,397,37
"2020-06-15",2645,19,16,397,37
"2020-06-16",2645,18,16,397,37
"2020-06-17",2645,17,15,397,37
"2020-06-18",2645,17,14,397,37
"2020-06-19",2645,16,14,397,37
"2020-06-20",2645,15,13,397,37
"2020-06-21",2645,14,12,397,37
"2020-06-22",2645,13,12,397,37
"2020-06-23",2645,13,11,397,37
"2020-06-24",2645,12,11,397,37
"2020-06-25",2645,11,10,397,37
"2020-06-26",2645,11,10,397,37
"2020-06-27",2645,10,9,397,37
