"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",599,323,64,85,11
"2020-04-02",643,334,67,92,13
"2020-04-03",688,344,71,98,14
"2020-04-04",731,352,74,105,15
"2020-04-05",775,359,76,111,16
"2020-04-06",817,365,79,118,18
"2020-04-07",859,370,81,124,19
"2020-04-08",900,373,83,130,20
"2020-04-09",939,375,85,136,22
"2020-04-10",978,376,86,142,23
"2020-04-11",1015,375,88,147,24
"2020-04-12",1051,374,89,153,26
"2020-04-13",1085,371,89,158,27
"2020-04-14",1119,367,90,163,29
"2020-04-15",1150,363,90,168,30
"2020-04-16",1181,358,90,172,31
"2020-04-17",1210,352,90,177,32
"2020-04-18",1238,345,90,181,34
"2020-04-19",1264,338,89,185,35
"2020-04-20",1289,330,89,188,36
"2020-04-21",1312,322,88,192,37
"2020-04-22",1335,313,87,195,38
"2020-04-23",1356,304,86,198,40
"2020-04-24",1376,295,84,201,41
"2020-04-25",1394,286,83,204,42
"2020-04-26",1412,276,82,207,43
"2020-04-27",1429,267,80,209,44
"2020-04-28",1444,257,78,212,45
"2020-04-29",1459,248,77,214,46
"2020-04-30",1472,238,75,216,46
"2020-05-01",1485,229,73,218,47
"2020-05-02",1496,219,71,220,48
"2020-05-03",1507,210,69,221,49
"2020-05-04",1518,201,68,223,50
"2020-05-05",1527,192,66,224,50
"2020-05-06",1536,184,64,225,51
"2020-05-07",1544,175,62,227,52
"2020-05-08",1552,167,60,228,52
"2020-05-09",1559,159,58,229,53
"2020-05-10",1565,151,56,230,53
"2020-05-11",1571,144,54,231,54
"2020-05-12",1577,137,53,232,54
"2020-05-13",1582,130,51,232,55
"2020-05-14",1587,123,49,233,55
"2020-05-15",1591,117,47,234,56
"2020-05-16",1595,111,45,234,56
"2020-05-17",1599,105,44,235,57
"2020-05-18",1602,99,42,235,57
"2020-05-19",1605,94,41,236,57
"2020-05-20",1608,89,39,236,58
"2020-05-21",1611,84,38,237,58
"2020-05-22",1613,79,36,237,58
"2020-05-23",1615,75,35,237,59
"2020-05-24",1617,71,33,238,59
"2020-05-25",1619,67,32,238,59
"2020-05-26",1621,63,31,238,59
"2020-05-27",1622,60,29,238,60
"2020-05-28",1624,56,28,239,60
"2020-05-29",1625,53,27,239,60
"2020-05-30",1626,50,26,239,60
"2020-05-31",1627,47,25,239,60
"2020-06-01",1628,44,24,239,60
"2020-06-02",1629,42,23,239,61
"2020-06-03",1630,39,22,240,61
"2020-06-04",1631,37,21,240,61
"2020-06-05",1631,35,20,240,61
"2020-06-06",1632,33,19,240,61
"2020-06-07",1633,31,18,240,61
"2020-06-08",1633,29,17,240,61
"2020-06-09",1633,27,16,240,61
"2020-06-10",1634,26,16,240,62
"2020-06-11",1634,24,15,240,62
"2020-06-12",1635,23,14,240,62
"2020-06-13",1635,22,14,240,62
"2020-06-14",1635,20,13,240,62
"2020-06-15",1635,19,12,240,62
"2020-06-16",1636,18,12,240,62
"2020-06-17",1636,17,11,240,62
"2020-06-18",1636,16,11,240,62
"2020-06-19",1636,15,10,240,62
"2020-06-20",1636,14,10,241,62
"2020-06-21",1637,13,9,241,62
"2020-06-22",1637,13,9,241,62
"2020-06-23",1637,12,9,241,62
"2020-06-24",1637,11,8,241,62
"2020-06-25",1637,11,8,241,63
"2020-06-26",1637,10,7,241,63
"2020-06-27",1637,9,7,241,63
"2020-06-28",1637,9,7,241,63
"2020-06-29",1637,8,6,241,63
