"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",5926,3684,682,881,152
"2020-04-02",6784,4136,772,1009,180
"2020-04-03",7699,4598,866,1147,210
"2020-04-04",8668,5065,962,1292,244
"2020-04-05",9682,5530,1060,1444,281
"2020-04-06",10737,5989,1160,1602,322
"2020-04-07",11824,6434,1258,1765,365
"2020-04-08",12938,6861,1356,1932,412
"2020-04-09",14071,7265,1451,2102,462
"2020-04-10",15215,7641,1543,2274,514
"2020-04-11",16366,7988,1631,2447,569
"2020-04-12",17517,8301,1715,2619,626
"2020-04-13",18661,8579,1793,2791,686
"2020-04-14",19794,8821,1865,2961,747
"2020-04-15",20910,9025,1932,3128,809
"2020-04-16",22007,9191,1992,3293,873
"2020-04-17",23079,9319,2045,3454,938
"2020-04-18",24124,9411,2092,3610,1004
"2020-04-19",25139,9466,2132,3763,1070
"2020-04-20",26121,9488,2164,3910,1137
"2020-04-21",27069,9476,2191,4052,1204
"2020-04-22",27982,9433,2210,4189,1270
"2020-04-23",28858,9361,2224,4320,1336
"2020-04-24",29697,9263,2231,4446,1402
"2020-04-25",30498,9139,2232,4566,1466
"2020-04-26",31261,8994,2228,4681,1530
"2020-04-27",31987,8829,2219,4790,1592
"2020-04-28",32675,8646,2204,4893,1654
"2020-04-29",33327,8447,2185,4991,1714
"2020-04-30",33944,8235,2162,5083,1772
"2020-05-01",34525,8012,2135,5171,1830
"2020-05-02",35073,7779,2104,5253,1885
"2020-05-03",35588,7539,2070,5330,1939
"2020-05-04",36071,7294,2033,5402,1991
"2020-05-05",36524,7044,1994,5470,2041
"2020-05-06",36949,6792,1953,5534,2090
"2020-05-07",37345,6539,1909,5594,2137
"2020-05-08",37715,6286,1864,5649,2182
"2020-05-09",38060,6034,1818,5701,2225
"2020-05-10",38381,5784,1771,5749,2266
"2020-05-11",38680,5538,1723,5794,2306
"2020-05-12",38958,5295,1674,5835,2344
"2020-05-13",39215,5058,1625,5874,2381
"2020-05-14",39454,4825,1575,5910,2415
"2020-05-15",39675,4598,1526,5943,2448
"2020-05-16",39879,4378,1477,5974,2480
"2020-05-17",40068,4164,1428,6002,2510
"2020-05-18",40242,3957,1379,6028,2538
"2020-05-19",40403,3756,1331,6052,2565
"2020-05-20",40551,3563,1284,6074,2591
"2020-05-21",40688,3377,1237,6095,2616
"2020-05-22",40813,3199,1191,6114,2639
"2020-05-23",40929,3027,1146,6131,2660
"2020-05-24",41034,2863,1102,6147,2681
"2020-05-25",41132,2706,1059,6162,2701
"2020-05-26",41221,2556,1018,6175,2719
"2020-05-27",41303,2413,977,6187,2737
"2020-05-28",41378,2277,937,6198,2753
"2020-05-29",41446,2147,899,6209,2769
"2020-05-30",41509,2024,861,6218,2783
"2020-05-31",41566,1906,825,6227,2797
"2020-06-01",41618,1795,790,6235,2810
"2020-06-02",41666,1690,756,6242,2822
"2020-06-03",41710,1590,723,6248,2834
"2020-06-04",41749,1496,691,6254,2845
"2020-06-05",41786,1406,661,6260,2855
"2020-06-06",41819,1322,631,6265,2864
"2020-06-07",41849,1242,603,6269,2873
"2020-06-08",41876,1167,576,6273,2882
"2020-06-09",41901,1096,549,6277,2890
"2020-06-10",41923,1030,524,6280,2897
"2020-06-11",41944,967,500,6283,2904
"2020-06-12",41963,908,477,6286,2911
"2020-06-13",41980,852,455,6289,2917
"2020-06-14",41995,800,433,6291,2923
"2020-06-15",42009,750,413,6293,2928
"2020-06-16",42021,704,393,6295,2933
"2020-06-17",42033,661,375,6297,2938
"2020-06-18",42043,620,357,6298,2943
"2020-06-19",42053,581,340,6300,2947
"2020-06-20",42061,545,323,6301,2951
"2020-06-21",42069,512,308,6302,2955
"2020-06-22",42076,480,293,6303,2958
