"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",9537,6338,1142,1426,222
"2020-04-02",11327,7412,1344,1694,272
"2020-04-03",13321,8574,1565,1993,330
"2020-04-04",15517,9813,1805,2323,397
"2020-04-05",17909,11116,2060,2681,473
"2020-04-06",20486,12467,2330,3068,558
"2020-04-07",23236,13851,2610,3480,654
"2020-04-08",26144,15249,2899,3917,759
"2020-04-09",29195,16646,3194,4374,875
"2020-04-10",32368,18024,3491,4850,1001
"2020-04-11",35647,19368,3788,5342,1136
"2020-04-12",39011,20664,4083,5847,1281
"2020-04-13",42441,21897,4371,6361,1436
"2020-04-14",45918,23057,4651,6883,1599
"2020-04-15",49423,24133,4921,7409,1770
"2020-04-16",52939,25117,5179,7936,1949
"2020-04-17",56449,26002,5422,8462,2134
"2020-04-18",59938,26784,5649,8986,2326
"2020-04-19",63391,27460,5859,9504,2522
"2020-04-20",66794,28027,6051,10014,2724
"2020-04-21",70137,28485,6224,10516,2929
"2020-04-22",73409,28836,6378,11006,3137
"2020-04-23",76600,29081,6512,11485,3347
"2020-04-24",79704,29224,6627,11951,3558
"2020-04-25",82713,29268,6721,12402,3770
"2020-04-26",85623,29219,6796,12839,3982
"2020-04-27",88429,29080,6852,13259,4194
"2020-04-28",91129,28858,6890,13664,4404
"2020-04-29",93719,28560,6909,14053,4612
"2020-04-30",96199,28190,6912,14425,4818
"2020-05-01",98568,27756,6898,14780,5021
"2020-05-02",100827,27263,6869,15119,5221
"2020-05-03",102977,26719,6825,15442,5416
"2020-05-04",105018,26129,6768,15748,5608
"2020-05-05",106953,25500,6698,16038,5795
"2020-05-06",108784,24836,6617,16313,5978
"2020-05-07",110514,24145,6525,16572,6156
"2020-05-08",112146,23430,6423,16817,6328
"2020-05-09",113683,22698,6313,17047,6495
"2020-05-10",115128,21952,6196,17264,6657
"2020-05-11",116485,21198,6072,17468,6814
"2020-05-12",117758,20438,5941,17659,6965
"2020-05-13",118951,19678,5806,17838,7110
"2020-05-14",120066,18920,5667,18005,7250
"2020-05-15",121108,18167,5524,18161,7385
"2020-05-16",122080,17422,5378,18307,7514
"2020-05-17",122986,16687,5231,18443,7637
"2020-05-18",123830,15965,5081,18569,7756
"2020-05-19",124614,15257,4931,18687,7869
"2020-05-20",125343,14565,4781,18797,7977
"2020-05-21",126020,13890,4631,18898,8080
"2020-05-22",126648,13234,4482,18992,8179
"2020-05-23",127229,12597,4333,19079,8272
"2020-05-24",127767,11980,4186,19160,8362
"2020-05-25",128265,11383,4041,19235,8446
"2020-05-26",128724,10808,3898,19304,8527
"2020-05-27",129149,10254,3757,19367,8603
"2020-05-28",129540,9720,3618,19426,8675
"2020-05-29",129901,9208,3483,19480,8744
"2020-05-30",130234,8718,3350,19530,8809
"2020-05-31",130540,8248,3220,19576,8871
"2020-06-01",130821,7798,3094,19618,8929
"2020-06-02",131080,7369,2970,19657,8984
"2020-06-03",131317,6960,2850,19693,9036
"2020-06-04",131535,6570,2734,19725,9085
"2020-06-05",131735,6198,2621,19755,9131
"2020-06-06",131918,5845,2511,19783,9175
"2020-06-07",132086,5510,2405,19808,9216
"2020-06-08",132240,5192,2302,19831,9255
"2020-06-09",132380,4890,2203,19852,9291
"2020-06-10",132509,4604,2107,19871,9326
"2020-06-11",132626,4333,2014,19889,9358
"2020-06-12",132734,4077,1925,19905,9389
"2020-06-13",132832,3835,1839,19920,9417
"2020-06-14",132921,3606,1756,19933,9444
"2020-06-15",133003,3390,1677,19945,9470
"2020-06-16",133077,3187,1601,19957,9493
"2020-06-17",133145,2994,1527,19967,9516
"2020-06-18",133206,2813,1457,19976,9537
"2020-06-19",133262,2643,1389,19984,9557
"2020-06-20",133313,2482,1324,19992,9575
"2020-06-21",133360,2331,1262,19999,9593
"2020-06-22",133402,2188,1202,20005,9609
"2020-06-23",133440,2055,1145,20011,9624
"2020-06-24",133475,1929,1091,20016,9639
"2020-06-25",133507,1810,1039,20021,9652
"2020-06-26",133535,1699,989,20025,9665
