Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Asia,Afghanistan,None,2020-03-27,16.285436169853266,2.656870916208363,-30.28979379150507,0.8661480155503708,1.4238669212608166,0.01938718895546283,0.8376477280374234,0.054161892314741424
Europe,Albania,None,2020-03-23,16.343840463166018,0.6297571367464735,-570.7665091961173,0.02347337307852455,3.327505656706937,0.024425446754781633,0.15509043682860663,1.1573008532945879
Africa,Algeria,None,2020-03-21,16.43639889302376,0.5767967047773375,-7.767430092762079,0.24906177010085573,5.1630379971220135,0.07267369345357524,0.44629321502702407,7.7818018353472995
Europe,Andorra,None,2020-03-22,9.49614723763186,1.1098630525999669,-21.317015979462024,1.607722197363593,0.11230751456371325,0.0628426282899961,0.26099093798028605,1.7657472917177068
Africa,Angola,None,2020-06-10,3.9535531552260372,0.788322148427934,-5.314193475807323,1.6356222063668397,0.20783775872506252,0.041087041183233815,0.14494927898674465,0.31120746416731604
South America,Argentina,None,2020-03-20,21.785228091311723,0.508920419219385,-0.5197004614632406,0.00257596092550558,1.7373832666825846,0.02755399176707691,0.05329167609625693,2.914315680845903
Asia,Armenia,None,2020-03-19,13.855010485341175,0.8889620006263469,-175.47311496548613,0.07029410738396359,0.06586841435221909,0.0263129701248396,0.20101337706718136,0.8305164641563139
Oceania,Australia,Australian Capital Territory,2020-04-09,1.1996681873702812,2.5418014201754393,-13.906506191712543,4.512476161112395,0.286452486163087,0.010524632678405152,0.011531658956573076,0.0034994207658700692
Oceania,Australia,New South Wales,2020-03-14,7.6858679229666995,44.83043839761262,-0.020167534645446385,294.26677246471695,0.04771629156120878,0.015639052517178127,9.088559361766027,0.055537736359981535
Oceania,Australia,Queensland,2020-03-19,3.852760171033655,0.14702265183658586,-40.06882134886912,1.0015781980932787,0.14779684099670343,0.005813311803914419,5.515507785050707,0.17940628600676284
Oceania,Australia,South Australia,2020-03-22,3.7175695321831244,0.0022306589539349713,-369.2079625991589,77.7244510415482,0.0985186773476293,0.009224795496915133,1.2463983023761984,1.0387091237057844
Oceania,Australia,Tasmania,2020-04-09,2.523207389712052,0.003897612276479028,-279.56746617600356,46.34401897935476,0.1413372600330167,0.048164968329539225,0.9944099988169219,0.2661032546641172
Oceania,Australia,Victoria,2020-03-18,8.547918357581212,0.35891549876108203,-195.07733118570155,0.06354992934636794,0.3556049221907741,0.011426040424086115,3.7066830887295734,1.171224835151342
Oceania,Australia,Western Australia,2020-03-22,7.059546359990316,0.4420842381682504,-48.199746381598466,0.5665609126059072,0.09139856862226496,0.014098242411980506,0.9536132674270046,1.3427514807098848
Europe,Austria,None,2020-03-08,36.1129685736081,10.386795427438372,-0.28075270830288557,27.42569521497077,0.07134896575614784,0.04111320065547972,10.936441496548435,0.39754165020952115
Asia,Azerbaijan,None,2020-03-26,11.807207513381908,0.532981229773574,-38.54852403026864,0.029565745208619713,0.20161254623696526,0.013950778844290837,0.09786416832698272,1.3567354140951347
Asia,Bahrain,None,2020-03-10,21.588021063284586,0.5772068009794266,-0.03979331792993889,0.07968867836673313,0.3844867429660176,0.0024581891019702746,0.052217383612960015,0.8971551574610622
Asia,Bangladesh,None,2020-04-06,15.110428483177454,0.668789930879477,-0.6890542961256632,0.1889604637043372,1.903578697853482,0.013459699747832645,0.3354715138844433,17.62192295695354
Europe,Belarus,None,2020-03-30,12.238405285075617,0.6141961720495649,0.13431237494823825,0.3256476926270361,1.9816590388109592,0.005749865232485083,15.265724646111039,0.05733808072453623
Europe,Belgium,None,2020-03-06,51.310605479223725,2.323494816814528,5.641604638779911,3.3619049810099035,0.22878029136830075,0.16525791067862133,1.5078942410507548,0.03267464915077795
Africa,Benin,None,2020-05-07,55.696052314895724,0.16898296772755825,-30.600733051265983,9.180123597792626,0.007495352409718933,0.05864752082008553,0.01843424100916869,2.0363648748337737
South America,Bolivia,None,2020-03-31,10.252349224686455,1.0794618910630707,-32.3077376167955,0.256645113023709,1.9442452645260362,0.03336737492488793,0.15786295841604966,0.717699632439798
Europe,Bosnia and Herzegovina,None,2020-03-22,10.352613120089202,0.4321571299863617,-15.13740173415524,0.15160660312066682,0.11949902448362507,0.06043219767443676,1.4070443900641447,1.3019179483248808
South America,Brazil,None,2020-03-13,36.2689045293763,0.7849845041699534,14.183028761005964,0.2661969946493059,6.536339372653718,0.05106938147103334,7.4709235185937315,0.19019637663519373
Europe,Bulgaria,None,2020-03-20,9.880914486219874,1.9046742974432265,-32.0218193238476,1.0230331628376703,0.0793299861860322,0.06441796681466602,1.1546915469906978,0.23846482789846565
Africa,Burkina Faso,None,2020-03-24,5.561149351867922,0.9928972384226342,-669.8960077524843,0.06791020150333503,1.952757643832235,0.05855359518571004,1.916430067514711,0.640574212382758
Africa,Burundi,None,2020-06-16,12.031825466162275,1.2499998184430965,5.615444130833562,2.999999011566134,0.05000001017484914,0.010000001702788423,0.21031605857199687,0.10000000373990632
Africa,Cabo Verde,None,2020-04-26,10.095753050924676,1.1491451218012263,-20.120874955998882,0.5838306071945807,0.09336808167981835,0.01020238632838848,0.18494712870063215,0.10662484393026465
Asia,Cambodia,None,2020-03-29,,1.009920198459459,-30.997285886862638,2.1528697491506015,0.0009267068198764364,3.308223925599164e-05,0.0709821664565816,0.05685519880772664
Africa,Cameroon,None,2020-03-29,18.40276877682643,1.1640878621304047,-209.92423026769492,0.1119494897237393,0.8578123852616859,0.028152896029385786,0.10751938879273343,1.9558888086218322
North America,Canada,Alberta,2020-03-19,12.479536907001112,17.144341737347276,-0.21319724115283,22.82215635543016,0.34112280412125795,0.02022015172672237,0.29528976759471964,0.009424509899920877
North America,Canada,British Columbia,2020-03-16,6.557552017192925,0.5170707788880669,-39.156144963216036,0.2463522403159765,0.0777007760464141,0.06577659384368129,1.4836888308695155,4.225848119139837
North America,Canada,Manitoba,2020-03-31,3.592541874304028,0.735277863827919,-368.21252442306616,0.13019705095667972,0.1323752186813549,0.02077381055945121,0.0027544996410170473,0.9943831653631792
North America,Canada,New Brunswick,2020-04-06,46.59301990809314,3.8860876259822117,-1912.266321624857,0.054590038991880176,0.018019497711109948,0.0017428877629299658,0.000493849605273964,0.01803149788701687
North America,Canada,Newfoundland and Labrador,2020-03-27,4.794591717931568,0.002924600625548591,-213.5112209992169,57.29512417002906,0.2002547009218194,0.011583470234802828,1.02422928441774,0.5330844908854638
North America,Canada,Nova Scotia,2020-03-28,32.94132489629702,53.38457880242244,-0.01041289038041023,185.3818354278473,0.05163511875774346,0.06327836712157951,0.9739430824478603,0.0006105888714550811
North America,Canada,Ontario,2020-03-15,101.06895831971077,0.5480247788521356,0.2047451884571737,0.2944886325434337,0.3888639550871962,0.07980982392411254,17.739782364329965,0.006258624745405855
North America,Canada,Quebec,2020-03-19,43.29565315572442,1.1970336151613292,-8.26010828674754,0.9310315036310425,0.08198105974683861,0.10523062200005534,0.1244886599449972,9.129353422767583
North America,Canada,Saskatchewan,2020-03-28,13.07795736138536,0.5837865520657226,-5.142580627198176,0.4887407217656581,0.04423362064496856,0.02123370016580256,0.0064640914571735646,0.3372323237523207
Africa,Central African Republic,None,2020-05-08,42.62814012783696,0.9399693751951768,5.755093021160325,4.308727568682209,0.026572248411900704,0.005314730129492331,0.7016873359728452,0.08834371713053578
Africa,Chad,None,2020-05-02,5.342386959192254,0.9116524812720214,2.4070254885876223,5.28641680463719,6.138849923143927,0.0797471237369695,1.7432184910246298,0.8601757641734488
South America,Chile,None,2020-03-16,22.581865257045763,0.7320844626062544,-15.590646964362708,0.11354679763835876,0.039856505745217916,0.03656228277897725,3.277423336984049,0.19792808068401155
