"Day","Total Detected","Active","Active Hospitalized","Cumulative Hospitalized","Total Detected Deaths","Active Ventilated"
"2020-04-02",389,201,37,47,13,8
"2020-04-03",422,212,40,52,14,9
"2020-04-04",454,222,43,56,15,10
"2020-04-05",484,229,45,61,16,10
"2020-04-06",513,234,47,65,18,10
"2020-04-07",541,238,49,70,19,11
"2020-04-08",567,240,50,74,20,11
"2020-04-09",592,240,51,77,22,11
"2020-04-10",615,239,52,81,23,11
"2020-04-11",637,237,53,84,24,11
"2020-04-12",658,234,53,87,26,11
"2020-04-13",677,229,53,90,27,11
"2020-04-14",695,225,53,93,28,11
"2020-04-15",712,219,53,95,29,10
"2020-04-16",728,213,52,98,31,10
"2020-04-17",742,207,52,100,32,10
"2020-04-18",755,200,51,102,33,10
"2020-04-19",768,193,51,104,34,10
"2020-04-20",779,186,50,105,35,9
"2020-04-21",790,178,49,107,36,9
"2020-04-22",800,171,48,108,37,9
"2020-04-23",809,164,47,110,38,8
"2020-04-24",817,156,45,111,39,8
"2020-04-25",825,149,44,112,40,8
"2020-04-26",831,142,43,113,40,7
"2020-04-27",838,135,42,114,41,7
"2020-04-28",844,128,41,115,42,7
"2020-04-29",849,122,39,116,43,7
"2020-04-30",854,115,38,117,43,6
"2020-05-01",858,109,37,117,44,6
"2020-05-02",862,103,35,118,44,6
"2020-05-03",866,98,34,118,45,5
"2020-05-04",870,92,33,119,45,5
"2020-05-05",873,87,32,119,46,5
"2020-05-06",875,82,31,120,46,5
"2020-05-07",878,77,29,120,47,4
"2020-05-08",880,73,28,120,47,4
"2020-05-09",882,68,27,121,48,4
"2020-05-10",884,64,26,121,48,4
"2020-05-11",886,61,25,121,48,4
"2020-05-12",887,57,24,122,49,3
"2020-05-13",889,53,23,122,49,3
"2020-05-14",890,50,22,122,49,3
"2020-05-15",891,47,21,122,50,3
"2020-05-16",892,44,20,122,50,3
"2020-05-17",893,41,19,122,50,2
"2020-05-18",894,39,18,123,50,2
"2020-05-19",895,36,18,123,50,2
"2020-05-20",896,34,17,123,51,2
"2020-05-21",896,32,16,123,51,2
"2020-05-22",897,30,15,123,51,2
"2020-05-23",897,28,15,123,51,2
"2020-05-24",898,26,14,123,51,2
"2020-05-25",898,25,13,123,51,1
"2020-05-26",898,23,13,123,52,1
"2020-05-27",899,22,12,123,52,1
"2020-05-28",899,20,12,123,52,1
"2020-05-29",899,19,11,123,52,1
"2020-05-30",900,18,10,123,52,1
"2020-05-31",900,17,10,123,52,1
"2020-06-01",900,16,10,123,52,1
"2020-06-02",900,15,9,123,52,1
"2020-06-03",900,14,9,124,52,1
"2020-06-04",900,13,8,124,52,1
"2020-06-05",901,12,8,124,53,1
"2020-06-06",901,11,7,124,53,1
"2020-06-07",901,11,7,124,53,1
"2020-06-08",901,10,7,124,53,1
"2020-06-09",901,9,6,124,53,1
"2020-06-10",901,9,6,124,53,1
"2020-06-11",901,8,6,124,53,0
"2020-06-12",901,8,6,124,53,0
"2020-06-13",901,7,5,124,53,0
"2020-06-14",901,7,5,124,53,0
"2020-06-15",901,6,5,124,53,0
"2020-06-16",901,6,5,124,53,0
"2020-06-17",901,6,4,124,53,0
"2020-06-18",901,5,4,124,53,0
"2020-06-19",901,5,4,124,53,0
"2020-06-20",901,5,4,124,53,0
"2020-06-21",901,4,3,124,53,0
"2020-06-22",901,4,3,124,53,0
"2020-06-23",902,4,3,124,53,0
"2020-06-24",902,4,3,124,53,0
"2020-06-25",902,3,3,124,53,0
"2020-06-26",902,3,3,124,53,0
"2020-06-27",902,3,3,124,53,0
"2020-06-28",902,3,2,124,53,0
"2020-06-29",902,3,2,124,53,0
"2020-06-30",902,3,2,124,53,0
"2020-07-01",902,2,2,124,53,0
