"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",5549,2631,532,743,151
"2020-04-02",5949,2756,564,803,162
"2020-04-03",6353,2872,595,864,175
"2020-04-04",6760,2981,625,925,187
"2020-04-05",7167,3080,654,986,200
"2020-04-06",7575,3170,682,1047,214
"2020-04-07",7981,3250,707,1108,228
"2020-04-08",8384,3321,732,1169,242
"2020-04-09",8784,3381,754,1229,256
"2020-04-10",9179,3432,775,1288,271
"2020-04-11",9568,3474,793,1346,286
"2020-04-12",9951,3505,810,1404,301
"2020-04-13",10327,3528,825,1460,316
"2020-04-14",10694,3541,838,1515,331
"2020-04-15",11053,3545,850,1569,347
"2020-04-16",11402,3541,859,1621,362
"2020-04-17",11742,3528,866,1672,377
"2020-04-18",12072,3508,872,1722,392
"2020-04-19",12392,3481,876,1770,407
"2020-04-20",12701,3447,878,1816,422
"2020-04-21",12999,3406,878,1861,437
"2020-04-22",13287,3360,877,1904,452
"2020-04-23",13563,3308,874,1945,466
"2020-04-24",13829,3252,870,1985,480
"2020-04-25",14084,3190,864,2023,494
"2020-04-26",14328,3126,857,2060,508
"2020-04-27",14561,3057,849,2095,521
"2020-04-28",14784,2986,840,2128,534
"2020-04-29",14996,2912,830,2160,547
"2020-04-30",15198,2836,818,2191,559
"2020-05-01",15391,2758,806,2220,571
"2020-05-02",15573,2678,793,2247,583
"2020-05-03",15747,2598,779,2273,594
"2020-05-04",15911,2517,765,2298,605
"2020-05-05",16067,2436,750,2321,616
"2020-05-06",16214,2355,735,2343,626
"2020-05-07",16353,2274,719,2364,636
"2020-05-08",16484,2193,703,2383,646
"2020-05-09",16608,2113,686,2402,655
"2020-05-10",16724,2034,669,2419,664
"2020-05-11",16833,1956,652,2436,673
"2020-05-12",16936,1879,635,2451,681
"2020-05-13",17033,1804,618,2466,689
"2020-05-14",17124,1730,601,2479,697
"2020-05-15",17209,1658,584,2492,704
"2020-05-16",17288,1587,567,2504,711
"2020-05-17",17363,1519,550,2515,718
"2020-05-18",17432,1452,533,2526,724
"2020-05-19",17497,1387,516,2536,730
"2020-05-20",17558,1324,499,2545,736
"2020-05-21",17615,1263,483,2553,742
"2020-05-22",17668,1204,467,2561,747
"2020-05-23",17717,1148,451,2568,752
"2020-05-24",17762,1093,436,2575,757
"2020-05-25",17805,1040,420,2582,761
"2020-05-26",17845,989,405,2588,766
"2020-05-27",17881,940,391,2593,770
"2020-05-28",17916,894,377,2598,774
"2020-05-29",17947,849,363,2603,778
"2020-05-30",17977,806,349,2607,781
"2020-05-31",18004,764,336,2611,785
"2020-06-01",18029,725,323,2615,788
"2020-06-02",18052,687,311,2619,791
"2020-06-03",18074,651,298,2622,794
"2020-06-04",18094,617,287,2625,796
"2020-06-05",18112,584,275,2628,799
"2020-06-06",18129,553,264,2630,801
"2020-06-07",18145,523,253,2633,804
"2020-06-08",18159,495,243,2635,806
"2020-06-09",18173,468,233,2637,808
"2020-06-10",18185,443,223,2639,810
"2020-06-11",18196,419,214,2640,812
"2020-06-12",18207,396,205,2642,814
"2020-06-13",18216,374,196,2643,815
"2020-06-14",18225,353,188,2645,817
